Title,Genre,Actors,Director,Writer,Language,Box_office,Country,Released,Runtime,imdbRating,Awards,Poster
Glory,"Drama, History, War","['Matthew Broderick', 'Denzel Washington', 'Cary Elwes', 'Morgan Freeman']",['Edward Zwick'],"Kevin Jarre (screenplay), Lincoln Kirstein (book), Peter Burchard (book), Robert Gould Shaw (letters)",English,"26,830,000",USA,16 Feb 1990,122 min,7.9,Won 3 Oscars. Another 11 wins & 16 nominations.,tt0097441.jpg
"Sex, Lies, and Videotape",Drama,"21218      Andie MacDowell
25952    Laura San Giacomo
26751         James Spader
42110      Peter Gallagher
Name: Actor, dtype: object",['Steven Soderbergh'],Steven Soderbergh,English,"24,741,700",USA,22 Sep 1989,100 min,7.2,Nominated for 1 Oscar. Another 14 wins & 20 nominations.,tt0098724.jpg
A Nightmare on Elm Street 5: The Dream Child,"Horror, Thriller","16139         Robert Englund
73210     Marnette Patterson
108375         Whit Hertford
157632           Lisa Wilcox
Name: Actor, dtype: object",['Stephen Hopkins'],"Wes Craven (characters), John Skipp (story), Craig Spector (story), Leslie Bohem (story), Leslie Bohem (screenplay)",English,"22,168,359",USA,11 Aug 1989,89 min,5.1,3 wins & 2 nominations.,tt0097981.jpg
Dad,"Drama, Comedy","6793          Ethan Hawke
9894         Kevin Spacey
20625         Jack Lemmon
28231          J.T. Walsh
30825         Kathy Baker
38246          Ted Danson
39657     Olympia Dukakis
104297    Sprague Grayden
111441      Gregory Itzin
Name: Actor, dtype: object",['Gary David Goldberg'],"William Wharton (novel), Gary David Goldberg (screenplay)",English,"19,738,015",USA,10 Nov 1989,117 min,6.1,Nominated for 1 Oscar. Another 1 win & 4 nominations.,tt0097142.jpg
Lock Up,"Action, Crime, Drama","9948       Sylvester Stallone
27162       Donald Sutherland
58043            Tom Sizemore
60144             Danny Trejo
78338               John Amos
99920        Darlanne Fluegel
117123          Sonny Landham
119895               Tony Lip
160941    William Allen Young
Name: Actor, dtype: object",['John Flynn'],"Richard Smith, Jeb Stuart, Henry Rosenbaum",English,"22,099,847",USA,04 Aug 1989,109 min,6.3,3 nominations.,tt0097770.jpg
Cousins,"Comedy, Romance","25668     Isabella Rossellini
28826              Sean Young
34244           Lloyd Bridges
38247              Ted Danson
89923            Keith Coogan
111404     Katharine Isabelle
135181       William Petersen
Name: Actor, dtype: object",['Joel Schumacher'],Jean-Charles Tacchella (based on the film \,English,"22,030,000",USA,10 Feb 1989,109 min,6.2,,tt0097116.jpg
Say Anything...,"Comedy, Drama, Romance","5368            John Cusack
14495           Joan Cusack
26887           Eric Stoltz
27466           Lili Taylor
36463           Lois Chiles
43923     Philip Baker Hall
49560          John Mahoney
51583         Bebe Neuwirth
58165             Ione Skye
73413          Jeremy Piven
87565      Dan Castellaneta
135264      Chynna Phillips
144440         Pamela Adlon
Name: Actor, dtype: object",['Cameron Crowe'],Cameron Crowe,English,"20,781,385",USA,14 Apr 1989,100 min,7.4,1 win & 2 nominations.,tt0098258.jpg
An Innocent Man,"Action, Crime, Drama","26137           Tom Selleck
29036     F. Murray Abraham
43924     Philip Baker Hall
81541            Tobin Bell
99908           Dann Florek
101237          M.C. Gainey
137702         David Rasche
139884         Laila Robins
Name: Actor, dtype: object",['Peter Yates'],Larry Brothers,English,"20,047,604",USA,06 Oct 1989,113 min,6.4,,tt0097579.jpg
The Fly II,"Horror, Sci-Fi","26888       Eric Stoltz
62525     Daphne Zuniga
102463        John Getz
Name: Actor, dtype: object",['Chris Walas'],"Mick Garris (screenplay), Jim Wheat (screenplay), Ken Wheat (screenplay), Frank Darabont (screenplay), Mick Garris (story), George Langelaan (characters)",English,"20,021,322",USA,10 Feb 1989,105 min,4.9,3 nominations.,tt0097368.jpg
Skin Deep,"Comedy, Drama, Romance","14248        Denise Crosby
25379          John Ritter
41005        Chelsea Field
41377            Nina Foch
70927        Jamie Kennedy
73627     Sheryl Lee Ralph
148998       Brenda Strong
Name: Actor, dtype: object",['Blake Edwards'],Blake Edwards,English,"19,674,852",USA,10 Mar 1989,97 min,6.1,,tt0098343.jpg
Blaze,"Biography, Drama","2371            Paul Newman
14892     Lolita Davidovich
94298        Jeffrey DeMunn
106579         Jerry Hardin
112264      Richard Jenkins
Name: Actor, dtype: object",['Ron Shelton'],"Blaze Starr (book), Huey Perry (book), Ron Shelton (screenplay)",English,"19,131,246",USA,13 Dec 1989,120 min,5.9,Nominated for 1 Oscar. Another 1 win & 2 nominations.,tt0096943.jpg
Her Alibi,"Comedy, Crime, Mystery","26136           Tom Selleck
65379           Tess Harper
73524     Paulina Porizkova
92887       William Daniels
155884        Patrick Wayne
Name: Actor, dtype: object",['Bruce Beresford'],Charlie Peters,"English, Romanian, Spanish","18,699,037",USA,03 Feb 1989,94 min,5.7,1 nomination.,tt0097500.jpg
Casualties of War,"Crime, Drama, War","6213       Michael J. Fox
12004     Stephen Baldwin
20550      John Leguizamo
23736           Sean Penn
24866      John C. Reilly
25160         Ving Rhames
44712         Gregg Henry
46042          Amy Irving
96864            Dale Dye
124283     Holt McCallany
135621     Wendell Pierce
141491       Vyto Ruginis
Name: Actor, dtype: object",['Brian De Palma'],"Daniel Lang (book), David Rabe (screenplay)","English, Vietnamese","18,671,317",USA,18 Aug 1989,113 min,7.1,Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,tt0097027.jpg
Prancer,"Drama, Family, Fantasy","16092             Sam Elliott
25220         Ariana Richards
48388         Cloris Leachman
55734            Mark Rolston
60736              Abe Vigoda
84300          Jesse Bradford
89864     Michael Constantine
101308         Johnny Galecki
Name: Actor, dtype: object",['John D. Hancock'],Greg Taylor,English,"18,587,135","USA, Canada",17 Nov 1989,103 min,6.3,2 nominations.,tt0098115.jpg
The Fabulous Baker Boys,"Drama, Music, Romance","8668      Michelle Pfeiffer
10232        Jennifer Tilly
13005          Jeff Bridges
34202          Beau Bridges
82026       Xander Berkeley
111440        Gregory Itzin
Name: Actor, dtype: object",['Steve Kloves'],Steve Kloves,English,"16,823,529",USA,13 Oct 1989,114 min,6.8,Nominated for 4 Oscars. Another 14 wins & 11 nominations.,tt0097322.jpg
Crimes and Misdemeanors,"Comedy, Drama","3860          Woody Allen
11038           Alan Alda
18002        Daryl Hannah
28980      Caroline Aaron
40666         Nora Ephron
40862          Mia Farrow
45831     Anjelica Huston
47882       Martin Landau
51992        Jerry Orbach
56082      Mercedes Ruehl
61216       Sam Waterston
62751        Claire Bloom
89810      Frances Conroy
102895     Joanna Gleason
126204       Fred Melamed
Name: Actor, dtype: object",['Woody Allen'],Woody Allen,"English, Hebrew","18,254,702",USA,03 Nov 1989,104 min,8.0,Nominated for 3 Oscars. Another 13 wins & 19 nominations.,tt0097123.jpg
Shocker,"Comedy, Horror, Thriller","5167              Wes Craven
20262     Heather Langenkamp
26781           Brent Spiner
32757             Peter Berg
54396              Ted Raimi
135703         Mitch Pileggi
169877        Richard Brooks
Name: Actor, dtype: object",['Wes Craven'],Wes Craven,English,"16,554,699",USA,27 Oct 1989,109 min,5.4,1 nomination.,tt0098320.jpg
Chances Are,"Comedy, Fantasy, Romance","15707         Robert Downey Jr.
21806     Mary Stuart Masterson
50284      Christopher McDonald
57623           Cybill Shepherd
100602         Kathleen Freeman
114553             Mimi Kennedy
132104              Ryan O'Neal
141945             Gianni Russo
Name: Actor, dtype: object",['Emile Ardolino'],"Perry Howze, Randy Howze",English,"16,278,590",USA,10 Mar 1989,108 min,6.4,Nominated for 1 Oscar. Another 1 win & 1 nomination.,tt0097044.jpg
No Holds Barred,Action,"9510             Joan Severance
45000                Hulk Hogan
48872            Tom Lister Jr.
52716              David Paymer
60713             Jesse Ventura
100956              Kurt Fuller
127693    John Cameron Mitchell
134633          Mark Pellegrino
Name: Actor, dtype: object",['Thomas J. Wright'],Dennis Hackin,English,"16,093,651",USA,02 Jun 1989,93 min,4.2,,tt0097987.jpg
Next of Kin,"Action, Crime, Thriller","7075              Helen Hunt
8618             Bill Paxton
11858           Adam Baldwin
22966            Liam Neeson
27359         Patrick Swayze
51628             Lisa Niemi
59157            Ben Stiller
119139            Ted Levine
136256    Michael J. Pollard
Name: Actor, dtype: object",['John Irvin'],Michael Jenning,English,"15,942,628",USA,20 Oct 1989,108 min,5.7,1 nomination.,tt0097967.jpg
Leviathan,"Adventure, Horror, Mystery","28359        Peter Weller
37445      Richard Crenna
40547     Hector Elizondo
41838          Meg Foster
45433        Ernie Hudson
64097      Lisa Eilbacher
73244         Amanda Pays
148401       Daniel Stern
Name: Actor, dtype: object",['George P. Cosmatos'],"David Webb Peoples (story), David Webb Peoples (screenplay), Jeb Stuart (screenplay)",English,"15,704,614","USA, Italy",17 Mar 1989,98 min,5.7,1 win.,tt0097737.jpg
She-Devil,Comedy,"27052      Meryl Streep
32279     Ed Begley Jr.
45586        Linda Hunt
53385     Maria Pitillo
55906     Roseanne Barr
111876    Clifton James
123637       A Martinez
Name: Actor, dtype: object",['Susan Seidelman'],"Fay Weldon (novel), Barry Strugatz (screenplay), Mark R. Burns (screenplay)","English, French","15,351,421",USA,08 Dec 1989,99 min,5.4,,tt0098309.jpg
My Left Foot,"Biography, Drama","['Daniel Day-Lewis', 'Brenda Fricker', 'Alison Whelan', 'Kirsten Sheridan']",['Jim Sheridan'],"Shane Connaughton (screenplay), Jim Sheridan (screenplay), Christy Brown (book)",English,"14,743,391","Ireland, UK",30 Mar 1990,103 min,7.9,Won 2 Oscars. Another 20 wins & 19 nominations.,tt0097937.jpg
Kickboxer,"Action, Sport","10442    Jean-Claude Van Damme
Name: Actor, dtype: object","['Mark DiSalle', 'David Worth']","Mark DiSalle (story), Glenn A. Bruce (screenplay), Jean-Claude Van Damme (story)",English,"14,697,005",USA,08 Sep 1989,97 min,6.3,,tt0097659.jpg
Friday the 13th Part VIII: Jason Takes Manhattan,Horror,"70236               Kelly Hu
92179         Martin Cummins
109347           Kane Hodder
138970    Peter Mark Richman
Name: Actor, dtype: object",['Rob Hedden'],"Rob Hedden, Victor Miller (characters)",English,"14,343,976","USA, Canada",28 Jul 1989,100 min,4.5,2 nominations.,tt0097388.jpg
The Wizard,"Adventure, Comedy, Drama","9754      Christian Slater
25960          Fred Savage
34203         Beau Bridges
49541        Tobey Maguire
78921         Lee Arenberg
104119          Beth Grant
119422         Jenny Lewis
125825        Sam McMurray
Name: Actor, dtype: object",['Todd Holland'],David Chisholm,English,"14,278,900",USA,15 Dec 1989,100 min,6.0,4 nominations.,tt0098663.jpg
Great Balls of Fire!,"Biography, Drama, Music","9209            Winona Ryder
11943           Alec Baldwin
24562           Dennis Quaid
83100            Lisa Blount
151724    Stephen Tobolowsky
Name: Actor, dtype: object",['Jim McBride'],"Myra Lewis (book), Murray Silver Jr. (book), Jack Baran (screenplay), Jim McBride (screenplay)",English,"13,741,060",USA,30 Jun 1989,108 min,6.2,1 win & 1 nomination.,tt0097457.jpg
Family Business,"Comedy, Crime, Drama","4478      Matthew Broderick
5052           Sean Connery
6926         Dustin Hoffman
28633               BD Wong
94555        Rosanna DeSoto
105685          Luis Guzman
111754     Victoria Jackson
135622       Wendell Pierce
151843         James Tolkan
Name: Actor, dtype: object",['Sidney Lumet'],"Vincent Patrick (novel), Vincent Patrick (screenplay)",English,"12,195,695",USA,15 Dec 1989,110 min,5.6,,tt0097328.jpg
Pink Cadillac,"Action, Comedy, Crime","4913              Jim Carrey
5789          Clint Eastwood
14200         James Cromwell
53071      Bernadette Peters
69147         Frances Fisher
83001           Dirk Blocker
87187        Timothy Carhart
94481     Michael Des Barres
119322        Geoffrey Lewis
125590         Bill McKinney
129270          Bill Moseley
151444      Sven-Ole Thorsen
Name: Actor, dtype: object",['Buddy Van Horn'],John Eskow,English,"12,143,484",USA,26 May 1989,122 min,5.2,,tt0098097.jpg
She's Out of Control,Comedy,"15510          Ami Dolenz
30124       Dana Ashbrook
38282          Tony Danza
53061       Matthew Perry
57465       Wallace Shawn
67996        Todd Bridges
84097       Michael Bower
94793      Dustin Diamond
108553    Catherine Hicks
154534        Eric Walker
Name: Actor, dtype: object",['Stan Dragoti'],"Seth Winston, Michael J. Nathanson",English,"12,065,892",USA,14 Apr 1989,90 min,5.3,1 win & 1 nomination.,tt0098308.jpg
Halloween 5,"Horror, Thriller","24075     Donald Pleasence
106998     Danielle Harris
Name: Actor, dtype: object",['Dominique Othenin-Girard'],"John Carpenter (characters), Debra Hill (characters), Michael Jacobs, Dominique Othenin-Girard, Shem Bitterman",English,"11,642,254",USA,13 Oct 1989,96 min,5.2,,tt0097474.jpg
Gross Anatomy,Drama,"22608       Matthew Modine
47749      Christine Lahti
53042          Max Perlich
62526        Daphne Zuniga
92046          Steven Culp
99454           Todd Field
148919    Michael Stoyanov
Name: Actor, dtype: object",['Thom Eberhardt'],"Mark Spragg (story), Howard Rosenman (story), Alan Jay Glueckman (story), Stanley Isaacs (story), Ron Nyswaner (screenplay), Mark Spragg (screenplay)",English,"11,604,598",USA,20 Oct 1989,109 min,6.1,,tt0097458.jpg
Police Academy 6: City Under Siege,"Comedy, Crime","80072            G.W. Bailey
85546          Susan Buckner
97048     Leslie Easterbrook
102156         George Gaynes
103834            David Graf
121641          Allison Mack
123288          Kenneth Mars
124777            Matt McCoy
128731           Dean Norris
Name: Actor, dtype: object",['Peter Bonerz'],"Neal Israel (characters), Pat Proft (characters), Stephen Curwick",English,"11,567,217",USA,10 Mar 1989,84 min,4.1,,tt0098105.jpg
Who's Harry Crumb?,"Comedy, Crime, Mystery","19595     Jeffrey Jones
32559       Jim Belushi
35263        John Candy
53825       Annie Potts
90427      Barry Corbin
146743    Shawnee Smith
151190    Tim Thomerson
Name: Actor, dtype: object",['Paul Flaherty'],"Robert Conte, Peter Wortmann",English,"10,982,364","USA, Canada",03 Feb 1989,94 min,5.8,,tt0098645.jpg
New York Stories,"Comedy, Drama, Romance","3861             Woody Allen
4691           Steve Buscemi
9384         Martin Scorsese
11562       Rosanna Arquette
15893          Kirsten Dunst
23280             Nick Nolte
33853         Carole Bouquet
36930      Holly Marie Combs
39545        Illeana Douglas
40863             Mia Farrow
44254           Debbie Harry
46644           Julie Kavner
57698            Talia Shire
68047           Adrien Brody
83620      Mark Boone Junior
90335            Gia Coppola
93231            Larry David
97562          Chris Elliott
102593    Giancarlo Giannini
124663        Heather McComb
148186            Mike Starr
Name: Actor, dtype: object","['Woody Allen', 'Francis Ford Coppola', 'Martin Scorsese']","Richard Price, Woody Allen, Francis Ford Coppola, Sofia Coppola",English,"10,763,469",USA,10 Mar 1989,124 min,6.4,1 win.,tt0097965.jpg
The Package,"Action, Crime, Drama","7279            Tommy Lee Jones
17679                 Pam Grier
17837              Gene Hackman
36080            Joanna Cassidy
41857              Dennis Franz
44571                John Heard
113560          Kathryn Joosten
118501             Harry Lennix
140907             Chelcie Ross
158094    Gregory Alan Williams
Name: Actor, dtype: object",['Andrew Davis'],John Bishop,English,"10,647,219",USA,25 Aug 1989,108 min,6.4,,tt0098051.jpg
We're No Angels,"Comedy, Crime","5506      Robert De Niro
8224          Demi Moore
23737          Sean Penn
24867     John C. Reilly
57464      Wallace Shawn
115491       Bruno Kirby
142039       James Russo
Name: Actor, dtype: object",['Neil Jordan'],"David Mamet, Ranald MacDougall (earlier screenplay), Albert Husson (play), Sam Spewack (play), Bella Spewack (play)","English, French, Latin","10,555,348",USA,15 Dec 1989,106 min,6.0,,tt0098625.jpg
Cyborg,"Action, Sci-Fi, Thriller","10443    Jean-Claude Van Damme
72540             Ralf Moeller
Name: Actor, dtype: object",['Albert Pyun'],Albert Pyun,English,"10,166,459",USA,07 Apr 1989,86 min,5.0,,tt0097138.jpg
Henry V,"Action, Biography, Drama","4433       Kenneth Branagh
12093       Christian Bale
12743        Brian Blessed
18804             Ian Holm
27581        Emma Thompson
36902      Robbie Coltrane
39036           Judi Dench
46160         Derek Jacobi
76735        Paul Scofield
125006    Geraldine McEwan
156095          Danny Webb
Name: Actor, dtype: object",['Kenneth Branagh'],"William Shakespeare (by), Kenneth Branagh (adapted for the screen by)","English, French","10,161,099",UK,08 Nov 1989,137 min,7.7,Won 1 Oscar. Another 9 wins & 13 nominations.,tt0097499.jpg
Tap,"Comedy, Drama, Music","129144    Joe Morton
Name: Actor, dtype: object",['Nick Castle'],Nick Castle,English,"9,114,702",USA,10 Feb 1989,111 min,6.5,,tt0098442.jpg
Renegades,"Action, Crime, Drama","17147               Jami Gertz
27269        Kiefer Sutherland
53227     Lou Diamond Phillips
99255           Louis Ferreira
112658           Clark Johnson
115709          Robert Knepper
117525          Robert LaSardo
Name: Actor, dtype: object",['Jack Sholder'],David Rich,English,"9,015,164",USA,02 Jun 1989,106 min,5.3,1 win & 1 nomination.,tt0098188.jpg
Scandal,"Drama, History","16658       Bridget Fonda
19057           John Hurt
28406      Joanne Whalley
40314        Britt Ekland
72246        Ian McKellen
78058         Keith Allen
135323    Leslie Phillips
Name: Actor, dtype: object",['Michael Caton-Jones'],Michael Thomas,English,"8,800,000",UK,28 Apr 1989,106 min,6.5,Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,tt0098260.jpg
True Believer,"Drama, Crime","10833           James Woods
15708     Robert Downey Jr.
58236        Kurtwood Smith
84153             Tom Bower
89478        Margaret Colin
100957          Kurt Fuller
105686          Luis Guzman
132592         Yuji Okumoto
Name: Actor, dtype: object",['Joseph Ruben'],Wesley Strick,English,"8,742,750",USA,17 Feb 1989,108 min,6.7,1 win & 1 nomination.,tt0098524.jpg
Troop Beverly Hills,"Adventure, Comedy","31975     Stephanie Beacham
43654          Carla Gugino
49050          Shelley Long
58515         Tori Spelling
72061         Kellie Martin
72834       Craig T. Nelson
74573        Hilary Shepard
86268            Edd Byrnes
102050        Willie Garson
116114         Karen Kopins
119423          Jenny Lewis
Name: Actor, dtype: object",['Jeff Kanew'],"Ava Ostern Fries (story), Pamela Norris (screenplay), Margaret Oberman (screenplay)",English,"8,508,843",USA,24 Mar 1989,105 min,5.4,,tt0098519.jpg
Cheetah,"Adventure, Family","89924    Keith Coogan
Name: Actor, dtype: object",['Jeff Blyth'],"Alan Caillou (book), John Cotter (screen story), Erik Tarloff (screenplay), John Cotter (screenplay), Griff Du Rhone (screenplay)",English,"8,153,677",USA,18 Aug 1989,83 min,6.1,1 nomination.,tt0097053.jpg
DeepStar Six,"Action, Horror, Sci-Fi","40932     Miguel Ferrer
52799       Nia Peeples
98074       Greg Evigan
124778       Matt McCoy
135522    Cindy Pickett
Name: Actor, dtype: object",['Sean S. Cunningham'],"Lewis Abernathy (story), Lewis Abernathy, Geof Miller",English,"8,143,225",USA,13 Jan 1989,99 min,5.2,,tt0097179.jpg
Dead Bang,"Action, Crime, Drama","19477             Don Johnson
22454     Penelope Ann Miller
30898             Bob Balaban
41800        William Forsythe
68753            Tate Donovan
70566           Michael Jeter
113281           Mickey Jones
Name: Actor, dtype: object",['John Frankenheimer'],"Robert Foster (screenplay), Jerry Beck (story)",English,"8,125,592",USA,24 Mar 1989,102 min,6.1,,tt0097166.jpg
Dead Calm,Thriller,"7545     Nicole Kidman
23038        Sam Neill
28926       Billy Zane
Name: Actor, dtype: object",['Phillip Noyce'],"Terry Hayes (screenplay), Charles Williams (novel)",English,"7,825,009",Australia,07 Apr 1989,96 min,6.8,5 wins & 6 nominations.,tt0097162.jpg
Enemies: A Love Story,"Comedy, Drama, Romance","23442           Lena Olin
45832     Anjelica Huston
118320         Phil Leeds
145943         Ron Silver
Name: Actor, dtype: object",['Paul Mazursky'],"Isaac Bashevis Singer (novel), Roger L. Simon (screenplay), Paul Mazursky (screenplay)",English,"7,754,571","USA, Canada",13 Dec 1989,119 min,6.8,Nominated for 3 Oscars. Another 4 wins & 6 nominations.,tt0097276.jpg
Disorganized Crime,"Action, Comedy, Crime","33051           Corbin Bernsen
43658              Fred Gwynne
53228     Lou Diamond Phillips
62730             Ruben Blades
128732             Dean Norris
132181              Ed O'Neill
140369          Daniel Roebuck
141657            William Russ
Name: Actor, dtype: object",['Jim Kouf'],Jim Kouf,English,"7,723,506",USA,14 Apr 1989,98 min,6.3,,tt0097211.jpg
Johnny Handsome,"Crime, Drama, Thriller","6293          Morgan Freeman
12127           Ellen Barkin
18594        Lance Henriksen
25794          Mickey Rourke
50553     Elizabeth McGovern
61657        Forest Whitaker
88692            Blake Clark
158841          Scott Wilson
Name: Actor, dtype: object",['Walter Hill'],"John Godey (novel), Ken Friedman (screenplay)",English,"7,237,794",USA,29 Sep 1989,94 min,6.1,3 nominations.,tt0097626.jpg
Relentless,"Crime, Thriller","23096       Judd Nelson
41841        Meg Foster
71583     Robert Loggia
101460     George Gallo
Name: Actor, dtype: object",['William Lustig'],Phil Alden Robinson,English,"6,985,999",USA,30 Aug 1989,92 min,5.9,,tt0098184.jpg
Music Box,"Crime, Drama, Thriller","['Jessica Lange', 'Armin Mueller-Stahl', 'Frederic Forrest', 'Donald Moffat']",['Costa-Gavras'],Joe Eszterhas,"English, Hungarian","6,263,883",USA,19 Jan 1990,124 min,7.3,Nominated for 1 Oscar. Another 1 win & 2 nominations.,tt0100211.jpg
UHF,"Comedy, Drama","15738        Fran Drescher
31450          Billy Barty
66140       Kevin McCarthy
111753    Victoria Jackson
117195     Sue Ane Langdon
136823        David Proval
138812    Michael Richards
Name: Actor, dtype: object",['Jay Levey'],"'Weird Al' Yankovic, Jay Levey",English,"6,157,157",USA,21 Jul 1989,97 min,7.0,,tt0098546.jpg
Shirley Valentine,"Comedy, Drama, Romance","89523     Pauline Collins
90930     George Costigan
108841       Bernard Hill
121066      Joanna Lumley
125534     Julia McKenzie
148234    Alison Steadman
149898        Sylvia Syms
Name: Actor, dtype: object",['Lewis Gilbert'],"Willy Russell (play), Willy Russell (screenplay)",English,"6,353,913","UK, USA",30 Aug 1989,108 min,7.2,Nominated for 2 Oscars. Another 4 wins & 7 nominations.,tt0098319.jpg
Immediate Family,Drama,"10834               James Woods
14007               Glenn Close
21807     Mary Stuart Masterson
39342              Kevin Dillon
73791             Gloria Reuben
104576               Jane Greer
111405       Katharine Isabelle
114554             Mimi Kennedy
Name: Actor, dtype: object",['Jonathan Kaplan'],Barbara Benedek,English,"5,932,613","USA, Canada",27 Oct 1989,95 min,6.1,1 win & 2 nominations.,tt0097567.jpg
Millennium,"Drama, Mystery, Sci-Fi","47569    Kris Kristofferson
47723           Cheryl Ladd
62810         Lloyd Bochner
63415         Maury Chaykin
Name: Actor, dtype: object",['Michael Anderson'],John Varley (short story \,English,"5,777,099","USA, Canada",25 Aug 1989,108 min,5.7,1 win & 5 nominations.,tt0097883.jpg
Dream a Little Dream,"Comedy, Drama, Romance","16442          Corey Feldman
17900             Corey Haim
48197           Piper Laurie
50612       William McNamara
55542          Jason Robards
56192      Meredith Salenger
58631     Harry Dean Stanton
77532             Matt Adler
82872          Susan Blakely
111755      Victoria Jackson
140071            Alex Rocco
Name: Actor, dtype: object",['Marc Rocco'],"Daniel Jay Franklin (story), Daniel Jay Franklin (screenplay), Marc Rocco (screenplay), D.E. Eisenberg (screenplay)",English,"5,552,441",USA,03 Mar 1989,114 min,5.9,,tt0097236.jpg
Second Sight,"Comedy, Mystery, Sci-Fi","29915       Bess Armstrong
53367      Bronson Pinchot
88276     Dominic Chianese
117388    John Larroquette
133561       Stuart Pankin
143923         John Schuck
151844        James Tolkan
Name: Actor, dtype: object",['Joel Zwick'],"Tom Schulman, Patricia Resnick",English,"5,368,865",USA,03 Nov 1989,83 min,4.3,,tt0098276.jpg
Let It Ride,"Comedy, Action","10233        Jennifer Tilly
15786      Richard Dreyfuss
17105             Teri Garr
36903       Robbie Coltrane
64053         Richard Edson
96209      Natalie Dreyfuss
131109        Cynthia Nixon
135400    Michelle Phillips
Name: Actor, dtype: object",['Joe Pytka'],"Jay Cronley (book), Nancy Dowd (screenplay)",English,"4,973,285",USA,18 Aug 1989,90 min,6.9,,tt0097731.jpg
See You in the Morning,"Drama, Romance","4346          Drew Barrymore
13006           Jeff Bridges
14307        Macaulay Culkin
16397         Farrah Fawcett
20119            Alice Krige
43721             Lukas Haas
117819           Linda Lavin
146491          Brooke Smith
148435    Frances Sternhagen
Name: Actor, dtype: object",['Alan J. Pakula'],Alan J. Pakula,English,"4,795,009",USA,21 Apr 1989,119 min,5.8,,tt0098283.jpg
Drugstore Cowboy,"Crime, Drama","15485         Matt Dillon
43146      Heather Graham
48333       James Le Gros
49310         Kelly Lynch
53040         Max Perlich
55288         James Remar
161110    Grace Zabriskie
Name: Actor, dtype: object",['Gus Van Sant'],"James Fogle (novel), Gus Van Sant (screenplay), Daniel Yost (screenplay)",English,"4,729,352",USA,20 Oct 1989,102 min,7.4,11 wins & 7 nominations.,tt0097240.jpg
The January Man,"Action, Crime, Mystery","7455                    Harvey Keitel
7728                      Kevin Kline
9301                   Susan Sarandon
25354                    Alan Rickman
29278                    Danny Aiello
49994     Mary Elizabeth Mastrantonio
58847                     Rod Steiger
89158                      Bill Cobbs
156639                  Kenneth Welsh
Name: Actor, dtype: object","[""Pat O'Connor""]",John Patrick Shanley,English,"4,611,062",USA,13 Jan 1989,97 min,5.5,,tt0097613.jpg
The Mighty Quinn,"Action, Crime, Drama","9129            Mimi Rogers
10541     Denzel Washington
60948        M. Emmet Walsh
73626      Sheryl Lee Ralph
100197            James Fox
Name: Actor, dtype: object",['Carl Schenkel'],"A.H.Z. Carr (novel), Hampton Fancher (screenplay)",English,"4,557,214",USA,17 Feb 1989,98 min,6.1,1 win.,tt0097880.jpg
Staying Together,"Comedy, Drama","11642            Sean Astin
13763     Stockard Channing
22845       Dermot Mulroney
49634          Dinah Manoff
62527         Daphne Zuniga
95185        Melinda Dillon
114367        Sheila Kelley
149939     Keith Szarabajka
Name: Actor, dtype: object",['Lee Grant'],Monte Merrick,English,"4,348,025",USA,10 Nov 1989,91 min,6.2,1 win & 1 nomination.,tt0098383.jpg
Listen to Me,"Drama, Romance","17148             Jami Gertz
23987        Amanda Peterson
30377     Christopher Atkins
56607           Roy Scheider
62458          Anthony Zerbe
86534           Kirk Cameron
94269          Peter DeLuise
110554          Rance Howard
143759         Dan Schneider
146882        Yeardley Smith
153109           Nancy Valen
160159          George Wyner
Name: Actor, dtype: object",['Douglas Day Stewart'],Douglas Day Stewart,English,"4,299,023",USA,05 May 1989,107 min,5.3,1 win & 2 nominations.,tt0097756.jpg
Loverboy,Comedy,"11171       Kirstie Alley
13489     Barbara Carrera
16611       Carrie Fisher
19389        Kate Jackson
24025      Robert Picardo
38982     Patrick Dempsey
92619     Elizabeth Daily
109550     Rebecca Holden
115899         Peter Koch
153107        Nancy Valen
154831        Dylan Walsh
Name: Actor, dtype: object",['Joan Micklin Silver'],"Robin Schiff (story), Robin Schiff (screenplay), Tom Ropelewski (screenplay), Leslie Dixon (screenplay)",English,"3,960,327",USA,28 Apr 1989,98 min,5.9,,tt0097790.jpg
A Dry White Season,"Drama, Thriller","270           Marlon Brando
9302         Susan Sarandon
27163     Donald Sutherland
54072       Jurgen Prochnow
64831        Michael Gambon
106765      Susannah Harker
113725            John Kani
158799       Richard Wilson
Name: Actor, dtype: object",['Euzhan Palcy'],"André P. Brink (novel), Colin Welland (screenplay), Euzhan Palcy (screenplay)",English,"3,766,879",USA,20 Sep 1989,97 min,7.0,Nominated for 1 Oscar. Another 1 win & 7 nominations.,tt0097243.jpg
Worth Winning,"Comedy, Romance","9511         Joan Severance
26921       Madeleine Stowe
28302     Lesley Ann Warren
44121           Mark Harmon
46021         Kathy Ireland
106113            Brad Hall
123501        Andrea Martin
137821         Devin Ratray
Name: Actor, dtype: object",['Will Mackenzie'],"Dan Lewandowski (novel), Josann McGibbon (screenplay), Sara Parriott (screenplay)",English,"3,690,400",USA,27 Oct 1989,103 min,6.0,,tt0098678.jpg
